date,adj_close
10-07-26,34.033783
10-08-02,34.409512
10-08-09,32.955547
10-08-16,33.026989
10-08-23,31.965956
10-08-30,34.234875
10-09-07,34.84874
10-09-13,36.431026
10-09-20,38.673489
10-09-27,37.376965
10-10-04,38.90501
10-10-11,41.639618
10-10-18,40.677811
10-10-25,39.819195
10-11-01,41.955814
10-11-08,40.751896
10-11-15,40.57991
10-11-22,41.674019
10-11-29,41.996826
10-12-06,42.409595
10-12-13,42.416214
10-12-20,42.811787
10-12-27,42.674194
11-01-03,44.468163
11-01-10,46.103371
11-01-18,43.224556
11-01-24,44.465515
11-01-31,45.841419
11-02-07,47.210709
11-02-14,46.378551
11-02-22,46.061035
11-02-28,47.627449
11-03-07,46.567738
11-03-14,43.747135
11-03-21,46.508205
11-03-28,45.584763
11-04-04,44.327927
11-04-11,43.322456
11-04-18,46.397072
11-04-25,46.321663
11-05-02,45.862587
11-05-09,45.047626
11-05-16,44.349094
11-05-23,44.638824
11-05-31,45.436588
11-06-06,43.116074
11-06-13,42.369907
11-06-20,43.175606
11-06-27,45.412773
11-07-05,47.589081
11-07-11,48.278358
11-07-18,52.03299
11-07-25,51.659904
11-08-01,49.429356
11-08-08,49.875198
11-08-15,47.102222
11-08-22,50.747047
11-08-29,49.486244
11-09-06,49.940025
11-09-12,52.985538
11-09-19,53.48827
11-09-26,50.448051
11-10-03,48.923973
11-10-10,55.829952
11-10-17,51.976101
11-10-24,53.574265
11-10-31,52.951141
11-11-07,50.884636
11-11-14,49.603989
11-11-21,48.099754
11-11-28,51.556713
11-12-05,52.075325
11-12-12,50.40836
11-12-19,53.359943
11-12-27,53.580879
12-01-03,55.882874
12-01-09,55.540222
12-01-17,55.605049
12-01-23,59.174461
12-01-30,60.81496
12-02-06,65.278709
12-02-13,66.42971
12-02-21,69.114044
12-02-27,72.12648
12-03-05,72.12516
12-03-12,77.470016
12-03-19,78.856506
12-03-26,79.31955
12-04-02,83.834892
12-04-09,80.070999
12-04-16,75.804375
12-04-23,79.775978
12-04-30,74.781708
12-05-07,74.974869
12-05-14,70.168465
12-05-21,74.390106
12-05-29,74.218117
12-06-04,76.775444
12-06-11,75.95652
12-06-18,77.010941
12-06-25,77.262306
12-07-02,80.156998
12-07-09,80.036606
12-07-16,79.947968
12-07-23,77.415771
12-07-30,81.456169
12-08-06,82.603096
12-08-13,86.112106
12-08-20,88.119713
12-08-27,88.388107
12-09-04,90.407677
12-09-10,91.847954
12-09-17,93.018501
12-09-24,88.635239
12-10-01,86.707344
12-10-08,83.667358
12-10-15,81.027306
12-10-22,80.251358
12-10-31,76.637398
12-11-05,73.017929
12-11-12,70.431213
12-11-19,76.280022
12-11-26,78.119278
12-12-03,71.17466
12-12-10,68.043373
12-12-17,69.316711
12-12-24,68.016678
12-12-31,70.340454
13-01-07,69.446182
13-01-14,66.736671
13-01-22,58.712254
13-01-28,60.546177
13-02-04,63.766647
13-02-11,61.777046
13-02-19,60.521797
13-02-25,57.791126
13-03-04,57.958939
13-03-11,59.561901
13-03-18,62.011986
13-03-25,59.42765
13-04-01,56.815121
13-04-08,57.70118
13-04-15,52.429134
13-04-22,56.009609
13-04-29,60.41037
13-05-06,61.214291
13-05-13,58.55069
13-05-20,60.157501
13-05-28,60.776443
13-06-03,59.706135
13-06-10,58.11689
13-06-17,55.880325
13-06-24,53.587002
13-07-01,56.410072
13-07-08,57.638493
13-07-15,57.427673
13-07-22,59.595322
13-07-29,62.50758
13-08-05,61.819794
13-08-12,68.333015
13-08-19,68.154816
13-08-26,66.277573
13-09-03,67.773926
13-09-09,63.241333
13-09-16,63.582775
13-09-23,65.66951
13-09-30,65.707596
13-10-07,67.037987
13-10-14,69.225388
13-10-21,71.547455
13-10-28,70.740784
13-11-04,71.226311
13-11-11,71.832458
13-11-18,71.122322
13-11-25,76.085014
13-12-02,76.625473
13-12-09,75.860619
13-12-16,75.120392
13-12-23,76.635056
13-12-30,74.020309
14-01-06,72.920219
14-01-13,73.97789
14-01-21,74.716751
14-01-27,68.495255
14-02-03,71.531525
14-02-10,74.877686
14-02-18,72.29821
14-02-24,72.434471
14-03-03,73.012589
14-03-10,72.221123
14-03-17,73.347061
14-03-24,73.896271
14-03-31,73.202545
14-04-07,71.521896
14-04-14,72.255547
14-04-21,78.724869
14-04-28,81.565872
14-05-05,81.047012
14-05-12,82.703827
14-05-19,85.004265
14-05-27,87.616142
14-06-02,89.35601
14-06-09,88.441093
14-06-16,88.082603
14-06-23,89.119324
14-06-30,91.10556
14-07-07,92.258553
14-07-14,91.493126
14-07-21,94.632355
14-07-28,93.140251
14-08-04,92.250069
14-08-11,95.404922
14-08-18,98.657135
14-08-25,99.806122
14-09-02,96.368896
14-09-08,98.988205
14-09-15,98.306595
14-09-22,98.102119
14-09-29,97.001816
14-10-06,98.082649
14-10-13,95.103065
14-10-20,102.454636
14-10-27,105.161575
14-11-03,106.605293
14-11-10,111.661247
14-11-17,113.900734
14-11-24,116.306465
14-12-01,112.463158
14-12-08,107.309418
14-12-15,109.314186
14-12-22,111.475433
14-12-29,106.918236
15-01-05,109.539116
15-01-12,103.651909
15-01-20,110.487724
15-01-26,114.575516
15-02-02,116.76548
15-02-09,124.767159
15-02-17,127.143112
15-02-23,126.122047
15-03-02,124.295891
15-03-09,121.340668
15-03-16,123.608635
15-03-23,121.006859
15-03-30,123.039185
15-04-06,124.786789
15-04-13,122.479561
15-04-20,127.908913
15-04-27,126.603119
15-05-04,125.820694
15-05-11,126.954483
15-05-18,130.671326
15-05-26,128.443192
15-06-01,126.836166
15-06-08,125.377037
15-06-15,124.815071
15-06-22,124.962959
15-06-29,124.657333
15-07-06,121.541878
15-07-13,127.792488
15-07-20,122.744682
15-07-27,119.589798
15-08-03,114.406815
15-08-10,114.842575
15-08-17,104.740868
15-08-24,112.198303
15-08-31,108.217041
15-09-08,113.109436
15-09-14,112.356758
15-09-21,113.604622
15-09-28,109.316345
15-10-05,111.039581
15-10-12,109.969986
15-10-19,117.93251
15-10-26,118.348465
15-11-02,120.406639
15-11-09,111.733704
15-11-16,118.656143
15-11-23,117.174179
15-11-30,118.387596
15-12-07,112.569176
15-12-14,105.457756
15-12-21,107.446968
15-12-28,104.691917
